Sentences,File location,gloss_sequence,signer_id,sample_id
what do you think,ISL_CSLRT_Corpus\Videos_Sentence_Level\what do you think\what do you think (3).MP4, DO YOU THINK WHAT,0,ISL_0388_S0
i was stopped by some one,ISL_CSLRT_Corpus\Videos_Sentence_Level\i was stopped by some one\stopped (2).MP4,I STOPPED BY SOMEONE,2,ISL_0272_S2
you are bad,ISL_CSLRT_Corpus\Videos_Sentence_Level\you are bad\bad (5).MP4,YOU BAD,4,ISL_0445_S4
serve the food,ISL_CSLRT_Corpus\Videos_Sentence_Level\serve the food\serve (3).MP4,FOOD SERVE ,1,ISL_0317_S1
i am afraid of that,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am afraid of that\afraid.MP4,I AFRAID THAT,2,ISL_0153_S2
shall we go outside,ISL_CSLRT_Corpus\Videos_Sentence_Level\shall we go outside\MVI_6498.MP4,OUTSIDE GO ,0,ISL_0323_S0
do not take it to the heart,ISL_CSLRT_Corpus\Videos_Sentence_Level\do not take it to the heart\heart.MP4,YOU  HEART DONOT TAKE IT,6,ISL_0064_S6
take care of yourself,ISL_CSLRT_Corpus\Videos_Sentence_Level\take care of yourself\take care (3).MP4,TAKE CARE  YOURSELF,4,ISL_0335_S4
who are you,ISL_CSLRT_Corpus\Videos_Sentence_Level\who are you\who are you (4).MP4,YOU WHO ,5,ISL_0424_S5
do you need something,ISL_CSLRT_Corpus\Videos_Sentence_Level\do you need something\need something.MP4,DO YOU NEED SOMETHING,4,ISL_0071_S4
i am not really sure,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am not really sure\really sure (4).MP4,I  REALLY NOT SURE,5,ISL_0187_S5
i am in dilemma what to do,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am in dilemma what to do\dilemma (2).MP4,I DILEMMA WHAT TO DO,0,ISL_0179_S0
what do you want to become,ISL_CSLRT_Corpus\Videos_Sentence_Level\what do you want to become\become.MP4,WHAT DO YOU WANT BECOME,3,ISL_0396_S3
i enjoyed a lot,ISL_CSLRT_Corpus\Videos_Sentence_Level\i enjoyed a lot\enjoy (2).MP4,I ENJOYED A LOT,0,ISL_0239_S0
why are you disappointed,ISL_CSLRT_Corpus\Videos_Sentence_Level\why are you disappointed\disappointed (5).MP4, YOU DISAPPOINTED WHY,2,ISL_0440_S2
let him take time,ISL_CSLRT_Corpus\Videos_Sentence_Level\let him take time\time (4).MP4,LET HIM TAKE TIME,5,ISL_0287_S5
you are welcome,ISL_CSLRT_Corpus\Videos_Sentence_Level\you are welcome\welcome (5).MP4,YOU WELCOME,2,ISL_0456_S2
let him take time,ISL_CSLRT_Corpus\Videos_Sentence_Level\let him take time\time (3).MP4,LET HIM TAKE TIME,1,ISL_0286_S1
could you please talk slower,ISL_CSLRT_Corpus\Videos_Sentence_Level\could you please talk slower\could you please talk slower (4).MP4,YOU PLEASE TALK SLOWER,3,ISL_0038_S3
do not be stubborn,ISL_CSLRT_Corpus\Videos_Sentence_Level\do not be stubborn\stubborn (3).MP4,STUBBORN  BE DONOT,0,ISL_0052_S0
comb your hair,ISL_CSLRT_Corpus\Videos_Sentence_Level\comb your hair\comb (3).MP4,COMB YOU HAIR,5,ISL_0028_S5
nice to meet you,ISL_CSLRT_Corpus\Videos_Sentence_Level\nice to meet you\nice to meet you (3).MP4,NICE MEET YOU,0,ISL_0296_S0
how old are you,ISL_CSLRT_Corpus\Videos_Sentence_Level\how old are you\how old are you (3).MP4,HOW OLD YOU,4,ISL_0139_S4
bring water for me,ISL_CSLRT_Corpus\Videos_Sentence_Level\bring water for me\bring water for me (8).MP4,BRING WATER ME,0,ISL_0015_S0
speak softly,ISL_CSLRT_Corpus\Videos_Sentence_Level\speak softly\softly 1.MP4,SPEAK SOFTLY,0,ISL_0332_S0
i am hungry,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am hungry\i am hungry   (3).MP4,I HUNGRY,0,ISL_0174_S0
my name is xxxxxxxx,ISL_CSLRT_Corpus\Videos_Sentence_Level\my name is xxxxxxxx\my name is xxxxxxxx (5).MP4,MY NAME XXXXXXXX,2,ISL_0294_S2
i got hurt,ISL_CSLRT_Corpus\Videos_Sentence_Level\i got hurt\got hurt (4).MP4,I GOT HURT,4,ISL_0247_S4
are you free today,ISL_CSLRT_Corpus\Videos_Sentence_Level\are you free today\free (5).MP4,YOU FREE TODAY,5,ISL_0004_S5
i can not help you there,ISL_CSLRT_Corpus\Videos_Sentence_Level\i can not help you there\MVI_6109.MP4,I  HELP NOT,2,ISL_0218_S2
i am hungry,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am hungry\i am hungry   (4).MP4,I HUNGRY,0,ISL_0175_S0
i do not mean it,ISL_CSLRT_Corpus\Videos_Sentence_Level\i do not mean it\mean (2).MP4,I  MEAN IT DO NOT,6,ISL_0233_S6
do me a favour,ISL_CSLRT_Corpus\Videos_Sentence_Level\do me a favour\favour (5).MP4,DO  FAVOUR ME,0,ISL_0045_S0
i was stopped by some one,ISL_CSLRT_Corpus\Videos_Sentence_Level\i was stopped by some one\MVI_6955.MP4,I STOPPED BY SOMEONE,6,ISL_0271_S6
i really appreciate it,ISL_CSLRT_Corpus\Videos_Sentence_Level\i really appreciate it\i really appreciate it (4).MP4,I REALLY APPRECIATE IT,4,ISL_0261_S4
had your food,ISL_CSLRT_Corpus\Videos_Sentence_Level\had your food\food (2).MP4, FOOD HAD,4,ISL_0081_S4
i am not really sure,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am not really sure\MVI_6546.MP4,I  REALLY NOT SURE,1,ISL_0184_S1
when will the train leave,ISL_CSLRT_Corpus\Videos_Sentence_Level\when will the train leave\leave.MP4, TRAIN LEAVE WHEN,0,ISL_0417_S0
how can i trust you,ISL_CSLRT_Corpus\Videos_Sentence_Level\how can i trust you\trust (2).MP4,I TRUST YOU HOW ,5,ISL_0129_S5
what you want,ISL_CSLRT_Corpus\Videos_Sentence_Level\what you want\what you want (5).MP4,YOU WANT WHAT ,2,ISL_0411_S2
i really appreciate it,ISL_CSLRT_Corpus\Videos_Sentence_Level\i really appreciate it\i really appreciate it (7).MP4,I REALLY APPRECIATE IT,0,ISL_0264_S0
nice to meet you,ISL_CSLRT_Corpus\Videos_Sentence_Level\nice to meet you\nice to meet you (1).MP4,NICE MEET YOU,1,ISL_0295_S1
i somehow got to know about it,ISL_CSLRT_Corpus\Videos_Sentence_Level\i somehow got to know about it\somehow.MP4,I SOMEHOW GOT KNOW ABOUT IT,3,ISL_0269_S3
i do not like it,ISL_CSLRT_Corpus\Videos_Sentence_Level\i do not like it\hate it.MP4,I  LIKE IT DO NOT,5,ISL_0231_S5
nice to meet you,ISL_CSLRT_Corpus\Videos_Sentence_Level\nice to meet you\nice to meet you (1).MP4,NICE MEET YOU,4,ISL_0295_S4
i am in dilemma what to do,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am in dilemma what to do\dilemma (3).MP4,I DILEMMA WHAT TO DO,4,ISL_0180_S4
i am sitting in the class,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am sitting in the class\sitting (3).MP4,I SITTING CLASS,0,ISL_0195_S0
why are you disappointed,ISL_CSLRT_Corpus\Videos_Sentence_Level\why are you disappointed\disappointed (5).MP4, YOU DISAPPOINTED WHY,0,ISL_0440_S0
can i help you,ISL_CSLRT_Corpus\Videos_Sentence_Level\can i help you\help (2).MP4,I HELP YOU,3,ISL_0017_S3
he she is my friend,ISL_CSLRT_Corpus\Videos_Sentence_Level\he she is my friend\MVI_6500.MP4,YOU MY FRIEND,5,ISL_0104_S5
i am (age),ISL_CSLRT_Corpus\Videos_Sentence_Level\i am (age)\i am (age) (3).MP4,I OLD,5,ISL_0146_S5
what you want,ISL_CSLRT_Corpus\Videos_Sentence_Level\what you want\what you want (3).MP4,YOU WANT WHAT ,1,ISL_0409_S1
i enjoyed a lot,ISL_CSLRT_Corpus\Videos_Sentence_Level\i enjoyed a lot\enjoyed (3).MP4,I ENJOYED A LOT,1,ISL_0242_S1
take care of yourself,ISL_CSLRT_Corpus\Videos_Sentence_Level\take care of yourself\Take care (2).MP4,TAKE CARE  YOURSELF,5,ISL_0334_S5
why are you angry,ISL_CSLRT_Corpus\Videos_Sentence_Level\why are you angry\angry.MP4,YOU ANGRY WHY ,0,ISL_0431_S0
do not take it to the heart,ISL_CSLRT_Corpus\Videos_Sentence_Level\do not take it to the heart\heart.MP4,YOU  HEART DONOT TAKE IT,0,ISL_0064_S0
how old are you,ISL_CSLRT_Corpus\Videos_Sentence_Level\how old are you\how old are you (4).MP4,HOW OLD YOU,3,ISL_0140_S3
why are you disappointed,ISL_CSLRT_Corpus\Videos_Sentence_Level\why are you disappointed\disappointed (4).MP4, YOU DISAPPOINTED WHY,0,ISL_0439_S0
This place is beautiful,ISL_CSLRT_Corpus\Videos_Sentence_Level\This place is beautiful\MVI_6502.MP4,THIS PLACE BEAUTIFUL,4,ISL_0357_S4
i really appreciate it,ISL_CSLRT_Corpus\Videos_Sentence_Level\i really appreciate it\i really appreciate it (7).MP4,I REALLY APPRECIATE IT,6,ISL_0264_S6
i promise,ISL_CSLRT_Corpus\Videos_Sentence_Level\i promise\promise.MP4,I PROMISE,1,ISL_0259_S1
comb your hair,ISL_CSLRT_Corpus\Videos_Sentence_Level\comb your hair\comb (2).MP4,COMB YOU HAIR,4,ISL_0027_S4
take care of yourself,ISL_CSLRT_Corpus\Videos_Sentence_Level\take care of yourself\take care.MP4,TAKE CARE  YOURSELF,6,ISL_0338_S6
nice to meet you,ISL_CSLRT_Corpus\Videos_Sentence_Level\nice to meet you\nice to meet you (5).MP4,NICE MEET YOU,3,ISL_0298_S3
what you want,ISL_CSLRT_Corpus\Videos_Sentence_Level\what you want\what you want (5).MP4,YOU WANT WHAT ,1,ISL_0411_S1
how old are you,ISL_CSLRT_Corpus\Videos_Sentence_Level\how old are you\how old are you (5).MP4,HOW OLD YOU,1,ISL_0141_S1
i promise,ISL_CSLRT_Corpus\Videos_Sentence_Level\i promise\promise (2).MP4,I PROMISE,0,ISL_0255_S0
try to understand,ISL_CSLRT_Corpus\Videos_Sentence_Level\try to understand\understand (2).MP4,YOU TRY UNDERSTAND,4,ISL_0358_S4
comb your hair,ISL_CSLRT_Corpus\Videos_Sentence_Level\comb your hair\comb (5).MP4,COMB YOU HAIR,6,ISL_0030_S6
congratulations,ISL_CSLRT_Corpus\Videos_Sentence_Level\congratulations\congratulations (7).MP4,CONGRATULATIIONS,1,ISL_0036_S1
i got hurt,ISL_CSLRT_Corpus\Videos_Sentence_Level\i got hurt\got hurt (5).MP4,I GOT HURT,5,ISL_0248_S5
i am (age),ISL_CSLRT_Corpus\Videos_Sentence_Level\i am (age)\i am (age) (4).MP4,I OLD,4,ISL_0147_S4
i do not agree,ISL_CSLRT_Corpus\Videos_Sentence_Level\i do not agree\agree (3).MP4,I AGREE DONOT ,4,ISL_0224_S4
bring water for me,ISL_CSLRT_Corpus\Videos_Sentence_Level\bring water for me\bring water for me (8).MP4,BRING WATER ME,1,ISL_0015_S1
i am really grateful,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am really grateful\MVI_6539.MP4,I REALLY GRATEFUL,6,ISL_0191_S6
tell me truth,ISL_CSLRT_Corpus\Videos_Sentence_Level\tell me truth\truth (2).MP4,TELL TRUTH,1,ISL_0339_S1
i really appreciate it,ISL_CSLRT_Corpus\Videos_Sentence_Level\i really appreciate it\i really appreciate it (6).MP4,I REALLY APPRECIATE IT,2,ISL_0263_S2
he is on the way,ISL_CSLRT_Corpus\Videos_Sentence_Level\he is on the way\way.MP4,HE ON THE WAY,3,ISL_0099_S3
do not abuse him,ISL_CSLRT_Corpus\Videos_Sentence_Level\do not abuse him\abuse (2).MP4, HIM ABUSE DONOT,3,ISL_0047_S3
No need to worry dont worry,ISL_CSLRT_Corpus\Videos_Sentence_Level\No need to worry dont worry\MVI_6496.MP4,NO NEED WORRY DONT WORRY,0,ISL_0300_S0
you are good,ISL_CSLRT_Corpus\Videos_Sentence_Level\you are good\good (5).MP4,YOU GOOD,0,ISL_0451_S0
you can do it,ISL_CSLRT_Corpus\Videos_Sentence_Level\you can do it\can do.MP4,YOU DO IT,3,ISL_0462_S3
serve the food,ISL_CSLRT_Corpus\Videos_Sentence_Level\serve the food\serve (2).MP4,FOOD SERVE ,3,ISL_0316_S3
i am not really sure,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am not really sure\MVI_6546.MP4,I  REALLY NOT SURE,5,ISL_0184_S5
what happened,ISL_CSLRT_Corpus\Videos_Sentence_Level\what happened\happen.MP4,HAPPENED WHAT ,1,ISL_0397_S1
i need water,ISL_CSLRT_Corpus\Videos_Sentence_Level\i need water\i need water 3.MP4,I WATER NEED ,3,ISL_0250_S3
how are things,ISL_CSLRT_Corpus\Videos_Sentence_Level\how are things\things (3).MP4, THINGS HOW,0,ISL_0121_S0
shall we go outside,ISL_CSLRT_Corpus\Videos_Sentence_Level\shall we go outside\outside (2).MP4,OUTSIDE GO ,1,ISL_0324_S1
do not make me angry,ISL_CSLRT_Corpus\Videos_Sentence_Level\do not make me angry\me angry (3).MP4,YOU ANGRY DONOT,3,ISL_0056_S3
he she is my friend,ISL_CSLRT_Corpus\Videos_Sentence_Level\he she is my friend\friend (2).MP4,YOU MY FRIEND,2,ISL_0100_S2
He is going into the room,ISL_CSLRT_Corpus\Videos_Sentence_Level\He is going into the room\room (3).MP4,HE ROOM  GO  ,2,ISL_0093_S2
i am feeling cold,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am feeling cold\cold (3).MP4,I FEEL COLD,3,ISL_0165_S3
why are you angry,ISL_CSLRT_Corpus\Videos_Sentence_Level\why are you angry\angry (2).MP4,YOU ANGRY WHY ,6,ISL_0427_S6
you can do it,ISL_CSLRT_Corpus\Videos_Sentence_Level\you can do it\can do (5).MP4,YOU DO IT,6,ISL_0461_S6
comb your hair,ISL_CSLRT_Corpus\Videos_Sentence_Level\comb your hair\comb (4).MP4,COMB YOU HAIR,3,ISL_0029_S3
help me,ISL_CSLRT_Corpus\Videos_Sentence_Level\help me\help me (1).MP4,HELP ME,0,ISL_0110_S0
speak softly,ISL_CSLRT_Corpus\Videos_Sentence_Level\speak softly\softly (5).MP4,SPEAK SOFTLY,2,ISL_0331_S2
try to understand,ISL_CSLRT_Corpus\Videos_Sentence_Level\try to understand\understand (2).MP4,YOU TRY UNDERSTAND,3,ISL_0358_S3
i am very happy,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am very happy\very happy (3).MP4,I VERY HAPPY,0,ISL_0215_S0
do me a favour,ISL_CSLRT_Corpus\Videos_Sentence_Level\do me a favour\favour (5).MP4,DO  FAVOUR ME,5,ISL_0045_S5
why are you crying,ISL_CSLRT_Corpus\Videos_Sentence_Level\why are you crying\crying (4).MP4, YOU CRY WHY,0,ISL_0434_S0
what is your phone number,ISL_CSLRT_Corpus\Videos_Sentence_Level\what is your phone number\what is your phone number (5).MP4, YOUR PHONE NUMBER WHAT,4,ISL_0406_S4
how old are you,ISL_CSLRT_Corpus\Videos_Sentence_Level\how old are you\how old are you (4).MP4,HOW OLD YOU,1,ISL_0140_S1
i am suffering from fever,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am suffering from fever\fever (2).MP4,I FEVER SUFFERING  ,3,ISL_0204_S3
you are bad,ISL_CSLRT_Corpus\Videos_Sentence_Level\you are bad\bad (2).MP4,YOU BAD,1,ISL_0442_S1
are you free today,ISL_CSLRT_Corpus\Videos_Sentence_Level\are you free today\free (2).MP4,YOU FREE TODAY,5,ISL_0001_S5
i do not mean it,ISL_CSLRT_Corpus\Videos_Sentence_Level\i do not mean it\mean (3).MP4,I  MEAN IT DO NOT,4,ISL_0234_S4
This place is beautiful,ISL_CSLRT_Corpus\Videos_Sentence_Level\This place is beautiful\beautiful (4).MP4,THIS PLACE BEAUTIFUL,0,ISL_0355_S0
i am so sorry to hear that,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am so sorry to hear that\sorry hear (5).MP4,I SORRY  HEAR THAT,3,ISL_0202_S3
why are you crying,ISL_CSLRT_Corpus\Videos_Sentence_Level\why are you crying\crying (5).MP4, YOU CRY WHY,1,ISL_0435_S1
are you hiding something,ISL_CSLRT_Corpus\Videos_Sentence_Level\are you hiding something\MVI_6958.MP4,YOU HIDE SOMETHING,6,ISL_0010_S6
do me a favour,ISL_CSLRT_Corpus\Videos_Sentence_Level\do me a favour\favour.MP4,DO  FAVOUR ME,0,ISL_0046_S0
pour some more water into the glass,ISL_CSLRT_Corpus\Videos_Sentence_Level\pour some more water into the glass\pour (4).MP4,WATER POUR  GLASS,5,ISL_0308_S5
i can not help you there,ISL_CSLRT_Corpus\Videos_Sentence_Level\i can not help you there\MVI_6399.MP4,I  HELP NOT,0,ISL_0219_S0
i really appreciate it,ISL_CSLRT_Corpus\Videos_Sentence_Level\i really appreciate it\i really appreciate it (3).MP4,I REALLY APPRECIATE IT,6,ISL_0260_S6
my name is xxxxxxxx,ISL_CSLRT_Corpus\Videos_Sentence_Level\my name is xxxxxxxx\my name is xxxxxxxx (3).MP4,MY NAME XXXXXXXX,2,ISL_0292_S2
who are you,ISL_CSLRT_Corpus\Videos_Sentence_Level\who are you\who are you (5).MP4,YOU WHO ,6,ISL_0425_S6
that is so kind of you,ISL_CSLRT_Corpus\Videos_Sentence_Level\that is so kind of you\MVI_6722.MP4, YOU KIND THAT,3,ISL_0351_S3
thank you so much,ISL_CSLRT_Corpus\Videos_Sentence_Level\thank you so much\thank you so much (3).MP4,THANK YOU SO MUCH,6,ISL_0344_S6
serve the food,ISL_CSLRT_Corpus\Videos_Sentence_Level\serve the food\serve (3).MP4,FOOD SERVE ,6,ISL_0317_S6
i need water,ISL_CSLRT_Corpus\Videos_Sentence_Level\i need water\i need water 5.MP4,I WATER NEED ,0,ISL_0252_S0
how are things,ISL_CSLRT_Corpus\Videos_Sentence_Level\how are things\things.MP4, THINGS HOW,2,ISL_0123_S2
i am so sorry to hear that,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am so sorry to hear that\sorry hear (2).MP4,I SORRY  HEAR THAT,3,ISL_0199_S3
where are you from,ISL_CSLRT_Corpus\Videos_Sentence_Level\where are you from\where are you from (4).MP4,YOU FROM WHERE ,4,ISL_0420_S4
do you need something,ISL_CSLRT_Corpus\Videos_Sentence_Level\do you need something\need something (2).MP4,DO YOU NEED SOMETHING,4,ISL_0070_S4
congratulations,ISL_CSLRT_Corpus\Videos_Sentence_Level\congratulations\congratulations (5).MP4,CONGRATULATIIONS,3,ISL_0034_S3
i somehow got to know about it,ISL_CSLRT_Corpus\Videos_Sentence_Level\i somehow got to know about it\somehow (2).MP4,I SOMEHOW GOT KNOW ABOUT IT,2,ISL_0265_S2
He is going into the room,ISL_CSLRT_Corpus\Videos_Sentence_Level\He is going into the room\room.MP4,HE ROOM  GO  ,3,ISL_0095_S3
let him take time,ISL_CSLRT_Corpus\Videos_Sentence_Level\let him take time\time (3).MP4,LET HIM TAKE TIME,6,ISL_0286_S6
go and sleep,ISL_CSLRT_Corpus\Videos_Sentence_Level\go and sleep\sleep (3).MP4,GO SLEEP,2,ISL_0076_S2
comb your hair,ISL_CSLRT_Corpus\Videos_Sentence_Level\comb your hair\comb.MP4,COMB YOU HAIR,1,ISL_0031_S1
he would be coming today,ISL_CSLRT_Corpus\Videos_Sentence_Level\he would be coming today\today (5).MP4,HE COMING TODAY,5,ISL_0108_S5
can you repeat that please,ISL_CSLRT_Corpus\Videos_Sentence_Level\can you repeat that please\can you repeat that please (5).MP4,YOU REPEAT PLEASE,5,ISL_0025_S5
how are things,ISL_CSLRT_Corpus\Videos_Sentence_Level\how are things\things.MP4, THINGS HOW,3,ISL_0123_S3
shall we go outside,ISL_CSLRT_Corpus\Videos_Sentence_Level\shall we go outside\outside (4).MP4,OUTSIDE GO ,3,ISL_0326_S3
can i help you,ISL_CSLRT_Corpus\Videos_Sentence_Level\can i help you\cannot help.MP4,I HELP YOU,1,ISL_0016_S1
i am sitting in the class,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am sitting in the class\sitting (5).MP4,I SITTING CLASS,3,ISL_0197_S3
are you free today,ISL_CSLRT_Corpus\Videos_Sentence_Level\are you free today\free (2).MP4,YOU FREE TODAY,0,ISL_0001_S0
how can i help you,ISL_CSLRT_Corpus\Videos_Sentence_Level\how can i help you\how can i help you (5).MP4, I HELP YOU HOW,1,ISL_0126_S1
take care of yourself,ISL_CSLRT_Corpus\Videos_Sentence_Level\take care of yourself\take care (5).MP4,TAKE CARE  YOURSELF,3,ISL_0337_S3
thank you so much,ISL_CSLRT_Corpus\Videos_Sentence_Level\thank you so much\thank you so much (1).MP4,THANK YOU SO MUCH,6,ISL_0343_S6
why are you crying,ISL_CSLRT_Corpus\Videos_Sentence_Level\why are you crying\crying (3).MP4, YOU CRY WHY,0,ISL_0433_S0
what you want,ISL_CSLRT_Corpus\Videos_Sentence_Level\what you want\what you want (5).MP4,YOU WANT WHAT ,6,ISL_0411_S6
why are you disappointed,ISL_CSLRT_Corpus\Videos_Sentence_Level\why are you disappointed\disappointed (4).MP4, YOU DISAPPOINTED WHY,5,ISL_0439_S5
that is so kind of you,ISL_CSLRT_Corpus\Videos_Sentence_Level\that is so kind of you\MVI_6106.MP4, YOU KIND THAT,2,ISL_0348_S2
can i help you,ISL_CSLRT_Corpus\Videos_Sentence_Level\can i help you\help.MP4,I HELP YOU,4,ISL_0021_S4
i am tired,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am tired\tired (5).MP4,I TIRED,0,ISL_0212_S0
i am feeling cold,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am feeling cold\cold.MP4,I FEEL COLD,3,ISL_0168_S3
i was stopped by some one,ISL_CSLRT_Corpus\Videos_Sentence_Level\i was stopped by some one\MVI_6955.MP4,I STOPPED BY SOMEONE,0,ISL_0271_S0
"you do anything, i do not care","ISL_CSLRT_Corpus\Videos_Sentence_Level\you do anything, i do not care\dont care.MP4","YOU DO ANYTHING, I DONOT CARE",4,ISL_0466_S4
i am tired,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am tired\tired.MP4,I TIRED,4,ISL_0213_S4
he is on the way,ISL_CSLRT_Corpus\Videos_Sentence_Level\he is on the way\way (3).MP4,HE ON THE WAY,5,ISL_0097_S5
i am sitting in the class,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am sitting in the class\sitting (4).MP4,I SITTING CLASS,6,ISL_0196_S6
i am afraid of that,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am afraid of that\afraid (3).MP4,I AFRAID THAT,0,ISL_0150_S0
shall we go outside,ISL_CSLRT_Corpus\Videos_Sentence_Level\shall we go outside\outside (4).MP4,OUTSIDE GO ,6,ISL_0326_S6
i somehow got to know about it,ISL_CSLRT_Corpus\Videos_Sentence_Level\i somehow got to know about it\somehow (2).MP4,I SOMEHOW GOT KNOW ABOUT IT,4,ISL_0265_S4
wear the shirt,ISL_CSLRT_Corpus\Videos_Sentence_Level\wear the shirt\shirt.MP4, SHIRT WEAR,5,ISL_0372_S5
wear the shirt,ISL_CSLRT_Corpus\Videos_Sentence_Level\wear the shirt\shirt (2).MP4, SHIRT WEAR,4,ISL_0368_S4
congratulations,ISL_CSLRT_Corpus\Videos_Sentence_Level\congratulations\congratulations (6).MP4,CONGRATULATIIONS,3,ISL_0035_S3
do not worry,ISL_CSLRT_Corpus\Videos_Sentence_Level\do not worry\worry (4).MP4,DONOT WORRY,3,ISL_0068_S3
i am very happy,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am very happy\very happy (2).MP4,I VERY HAPPY,4,ISL_0214_S4
congratulations,ISL_CSLRT_Corpus\Videos_Sentence_Level\congratulations\congratulations (5).MP4,CONGRATULATIIONS,0,ISL_0034_S0
i am in dilemma what to do,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am in dilemma what to do\dilemma (3).MP4,I DILEMMA WHAT TO DO,0,ISL_0180_S0
who are you,ISL_CSLRT_Corpus\Videos_Sentence_Level\who are you\who are you (3).MP4,YOU WHO ,2,ISL_0423_S2
bring water for me,ISL_CSLRT_Corpus\Videos_Sentence_Level\bring water for me\bring water for me (1).MP4,BRING WATER ME,2,ISL_0011_S2
why are you angry,ISL_CSLRT_Corpus\Videos_Sentence_Level\why are you angry\angry (5).MP4,YOU ANGRY WHY ,3,ISL_0430_S3
congratulations,ISL_CSLRT_Corpus\Videos_Sentence_Level\congratulations\congratulations (6).MP4,CONGRATULATIIONS,4,ISL_0035_S4
can you repeat that please,ISL_CSLRT_Corpus\Videos_Sentence_Level\can you repeat that please\can you repeat that please (4).MP4,YOU REPEAT PLEASE,2,ISL_0024_S2
do not make me angry,ISL_CSLRT_Corpus\Videos_Sentence_Level\do not make me angry\me angry (5).MP4,YOU ANGRY DONOT,1,ISL_0058_S1
i am in dilemma what to do,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am in dilemma what to do\dilemma (2).MP4,I DILEMMA WHAT TO DO,5,ISL_0179_S5
why are you angry,ISL_CSLRT_Corpus\Videos_Sentence_Level\why are you angry\angry (2).MP4,YOU ANGRY WHY ,3,ISL_0427_S3
you are good,ISL_CSLRT_Corpus\Videos_Sentence_Level\you are good\good (4).MP4,YOU GOOD,0,ISL_0450_S0
pour some more water into the glass,ISL_CSLRT_Corpus\Videos_Sentence_Level\pour some more water into the glass\pour (2).MP4,WATER POUR  GLASS,1,ISL_0306_S1
comb your hair,ISL_CSLRT_Corpus\Videos_Sentence_Level\comb your hair\comb (2).MP4,COMB YOU HAIR,5,ISL_0027_S5
are you hiding something,ISL_CSLRT_Corpus\Videos_Sentence_Level\are you hiding something\MVI_6685.MP4,YOU HIDE SOMETHING,1,ISL_0008_S1
what happened,ISL_CSLRT_Corpus\Videos_Sentence_Level\what happened\MVI_6495.MP4,HAPPENED WHAT ,6,ISL_0401_S6
i am fine. thank you sir,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am fine. thank you sir\fine thank (3).MP4,I FINE THANK YOU ,4,ISL_0170_S4
he she is my friend,ISL_CSLRT_Corpus\Videos_Sentence_Level\he she is my friend\friend.MP4,YOU MY FRIEND,6,ISL_0103_S6
why are you disappointed,ISL_CSLRT_Corpus\Videos_Sentence_Level\why are you disappointed\disappointed (3).MP4, YOU DISAPPOINTED WHY,3,ISL_0438_S3
he she is my friend,ISL_CSLRT_Corpus\Videos_Sentence_Level\he she is my friend\friend.MP4,YOU MY FRIEND,2,ISL_0103_S2
try to understand,ISL_CSLRT_Corpus\Videos_Sentence_Level\try to understand\understand (5).MP4,YOU TRY UNDERSTAND,5,ISL_0361_S5
i am really grateful,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am really grateful\MVI_6104.MP4,I REALLY GRATEFUL,0,ISL_0189_S0
do not make me angry,ISL_CSLRT_Corpus\Videos_Sentence_Level\do not make me angry\me angry (4).MP4,YOU ANGRY DONOT,4,ISL_0057_S4
why are you angry,ISL_CSLRT_Corpus\Videos_Sentence_Level\why are you angry\angry (4).MP4,YOU ANGRY WHY ,2,ISL_0429_S2
i got hurt,ISL_CSLRT_Corpus\Videos_Sentence_Level\i got hurt\got hurt (5).MP4,I GOT HURT,3,ISL_0248_S3
"you do anything, i do not care","ISL_CSLRT_Corpus\Videos_Sentence_Level\you do anything, i do not care\dont care (2).MP4","YOU DO ANYTHING, I DONOT CARE",5,ISL_0465_S5
you are welcome,ISL_CSLRT_Corpus\Videos_Sentence_Level\you are welcome\welcome.MP4,YOU WELCOME,2,ISL_0457_S2
speak softly,ISL_CSLRT_Corpus\Videos_Sentence_Level\speak softly\softly (4).MP4,SPEAK SOFTLY,5,ISL_0330_S5
